WORLD	Maseru Games postponed	s[n[n[(n/n)   n]] (s\\n)]
WORLD	Sadc ministers meet	s[n[n[(n/n)   n]] (s\\n)]
WORLD	Nile Be Dammed	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
WORLD	Bob Mabena dies	s[n[n[(n/n)   n]] (s\\n)]
TECHNOLOGY	BMW hybrids recalled	s[n[n[(n/n)   n]] (s\\n)]
NATION	Ufones programme concludes	s[n[n[(n/n)   n]] (s\\n)]
WORLD	Marine Lives Matter	s[n[n[(n/n)   n]] (s\\n)]
NATION	Nust registrar resigns	s[n[n[(n/n)   n]] (s\\n)]
NATION	Chamisa is back	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
NATION	Khorixas is upgrading	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
WORLD	The heat has broken	s[n[(n/n)   n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
NATION	Farethee well Ken	s[n[n] (s\\n)[((s\\n)/(s\\n))   (s\\n)]]
