5	I loved this recipe .
4	Delicious !
4	This recipe was very good .
4	good cookie , thnx
5	Excellent !
3	Great ! !
5	These are amazing !
5	These are also called \
4	Great ! Icing is delicious .
5	sooo good i used green onions
4	Yummm ! !
5	We really enjoyed this !
5	I agree !
5	These are easy and yummy !
5	Simple and elegant ! Thank you
5	yummy !
5	your recipe sounds very good !
4	This was very good !
5	Awesome , definetely a keeper !
4	This was very good .
5	wow they taste really good
5	Delicious ! ! !
5	DELICIOUS !
5	It 's sooo good
5	This subtle little jewel was delicious
5	Yum ! This was delicious .
5	Excellent ! ! !
5	These are just completely adorable !
5	This is an awesome idea .
5	These were great !
4	These were pretty good !
5	I am anxious to try !
5	Really easy & tastes fantastic !
5	What a perfect holiday drink
5	Yum ! Thanks for sharing !
3	that was ok
5	This is delicious .
5	yes !
5	My family loved this dish !
1	it was just a good try
5	I made these biscuits for a
5	Great ! ! !
3	Ho Hum .
5	Delish !
5	These biscuits are fantastic !
5	yum !
5	This is soooo good .
5	Awesome !
5	Good !
5	Excellent ! !
5	I think you spelled bueno wrong
3	This was just okay for us
5	OMG ! MMMM ... Yummy !
5	Family loved it !
5	best I 've tried yet
5	This is a terrific dessert !
5	It 's Good .
4	i like this on pizza .
5	EXCELLENT ! ! !
5	We really enjoyed it !
5	  we loved this its great
5	This was very good
5	This is so good
5	This is phenomenal ! !
5	Wow this was rich !
5	Yummy !
5	Delicious!!!!Definately a keeper .
4	This is really good !
5	I made this tonight ! Delish
4	Added a banana , delicious !
4	These were yummy ! !
5	This was really yummy
5	Yummy ! ! !
5	I quite agree with moss nezz
5	Yum ! ! !
5	Oh this is so good !
5	My hubbies favorite now too !
5	My son says yummy
5	Yum ! !
4	delicious !
5	everyone loved it
5	This is Fantastic .....
5	Yummy ! !
5	nice info ! Thanks !
3	These were okay .
5	This is very good !
5	This bread is delicious !
4	mmm this was yummy
5	A wonderful cake . < br/>Thanks,<br/>Jan
5	My family really enjoys this .
5	delicious ! !
4	This recipe was so good .
5	DELICIOUS ! ! !
5	Yum !
5	My mouth is watering !
5	This was absolutely delicious !
5	Fantastic . Tasted just right .
5	This is the best soup ever
5	Awesome ! !
5	Great !
5	Yum .
5	Definitely comfort food !
5	Very nice drink , enjoyed it
3	It was ok
5	I use this recipe regularly !
5	this recipe sounds gret Thank you
2	Muffins came out very heavy .
5	These are excellent !
1	It never hardened for me
5	Definitely an all star recipe !
5	yep yep yep ! ! !
4	Tasty !
5	Cajun Sauce sounds great !
5	It was spectacular ! ! !
5	It worked like a charm !
5	wow .. awesome inviting dish ..
4	Very good . Thank you
4	family loved it
5	added some garlic , otherwise fantastic
5	It was a hit .
5	This recipe is a winner !
4	These were delicious ! :)
4	Delicious ! !
3	They were ok .
4	this was very good
5	holy crap this was good .
5	Loved loved loved !
5	This is a family favoritell !
5	Great!Thank you !
5	yum yum !
5	this recipe was wonderful
4	good .
5	this is excellent !
5	I make these every Christmas !
5	Champion recipe .. thank you
5	Yep , best ever !
5	I have a great try
5	they were really good
1	These are not enchiladas .. sorry
5	great stuff steamed these puppys .dee
5	Awsome ! ! !
5	I love it .
5	This was REALLY yummy ...
5	too easy & loved it !
5	I browned the roast ( salt
5	I enjoyed . Thank you !
4	I loved it
5	Excellent ! ! ! !
5	mmmmmmm this tastes awesome
5	it was really easy and fast
5	This is EXCELLENT .
4	I will make this again .
5	Delicious ! ! ! ! !
5	yummy ! ! !
4	This recipe is really GOOD !
5	We loved this , thanks .
5	I forgot to rate it :)
5	Yum ! Thanks
5	These were good .
4	This was good !
5	Sooo amazing ! Thank you !
5	I loved it so much
5	Devine !
5	Delish ! ! ! !
5	delicious ! ! !
5	Om nom nom !
5	husband loved it .
5	This is yummy .
5	This is dangerously addicting
5	This just screams " autumn "
5	yummy ! !
5	wow .. amazing
2	I don&#039;t think this works
5	Outstanding ! ! ! ! !
5	I thought it was very good
5	These Are Very Good
5	Yum , yum !
5	Delish ! Thanks:- )
5	They were excellent !
4	that sounds good and easy
5	The whole family loved them .
5	We like these thanks
5	yummmmmmy ... thanks so much
5	this is good
5	yum ! ! !
5	i love this recipe
5	The beast . Will make again
5	Just delicious . Thank you !
5	This is really good ! !
